,,,,,Module Grade-Classification,,,
,,,,,1st (70%),,2:1 (60-69),
Module Details,,,No.,Avg Mark,No,%,No,%
ANTH,1041,"Health, Illness and Society",156,64,46,29%,61,39%
ANTH,1061,Peoples and Cultures,193,63,46,24%,104,54%
ANTH,1091,Human Evolution and Diversity,192,67,87,45%,68,35%
ANTH,1101,Doing Anthropological Research,107,65,43,40%,45,42%
ANTH,1111,Being Human: An Introduction,128,66,42,33%,68,53%
ANTH,2011,"Ecology, Genomics and Health",83,61,10,12%,45,54%
ANTH,2021,"Biology, Culture and Society",103,64,27,26%,47,46%
ANTH,2031,Methods and Analysis,136,69,71,52%,55,40%
ANTH,2041,"Families, Kinship&Social Order",42,66,10,24%,27,64%
ANTH,2051,Political & Economic Organizat,62,64,13,21%,39,63%
ANTH,2061,"Evolution, Variation, Adaptatn",67,61,12,18%,30,45%
ANTH,2071,Our Place In Nature,76,66,25,33%,36,47%
ANTH,2081,Interntnl Health Development,62,66,17,27%,39,63%
ANTH,2091,Cultures and Classifications,52,67,10,19%,42,81%
ANTH,2111,"Sex, Reproduction and Love",101,66,28,28%,55,54%
ANTH,2121,Debating Anthroplgy&Archaelgy,23,65,5,22%,16,70%
ANTH,3111,Change and Development,62,65,11,18%,45,73%
ANTH,3141,Anthropology Dissertation (20),<5,66,,0%,<5,100%
ANTH,3162,Anthropology Dissertation (40),106,69,54,51%,41,39%
ANTH,3341,South Africa Field Course,12,69,6,50%,6,50%
ANTH,3357,Violence and Memory,47,66,12,26%,31,66%
ANTH,3382,AnthropologyDissertationCH/HNS,5,67,<5,40%,<5,60%
ANTH,3401,Power and Governance,51,68,21,41%,30,59%
ANTH,3457,The Anthropology of Care,49,68,24,49%,23,47%
ANTH,3477,Evolutionary Medicine: Life Hi,42,63,<5,5%,31,74%
ANTH,3487,Human Reproductive Ecology,41,69,20,49%,19,46%
ANTH,3491,Research Proposal,<5,67,,0%,<5,100%
ANTH,3641,"Science, Culture, Ethics",64,67,29,45%,27,42%
ANTH,3731,Critical & Applied MedicalAnth,46,67,5,11%,39,85%
ANTH,3742,Anth&Arch Dissertation,5,67,<5,40%,<5,40%
ANTH,3762,Specialised Evolutionary Anth,24,65,<5,13%,17,71%
ANTH,4013,MAnth Dissertation,<5,74,<5,67%,<5,33%
ANTH,3757,Anthropology Religious Controv,48,66,13,27%,32,67%
ANTH,3527,Evol Medicine Mat Infant Helth,34,71,20,59%,13,38%
